label,precision,recall,f1-score,support
A major,0.16666666666666666,0.2916666666666667,0.21212121212121213,24.0
A minor,0.13157894736842105,0.0847457627118644,0.10309278350515463,59.0
A# major,0.34545454545454546,0.59375,0.4367816091954023,32.0
A# minor,0.2535211267605634,0.4090909090909091,0.3130434782608696,44.0
B major,0.0,0.0,0.0,24.0
B minor,0.5714285714285714,0.3888888888888889,0.4628099173553719,72.0
C major,0.2413793103448276,0.5833333333333334,0.34146341463414637,24.0
C minor,0.45918367346938777,0.33088235294117646,0.38461538461538464,136.0
C# major,0.2714285714285714,0.3958333333333333,0.3220338983050847,48.0
C# minor,0.6585365853658537,0.35526315789473684,0.46153846153846156,76.0
D major,0.2972972972972973,0.19642857142857142,0.23655913978494625,56.0
D minor,0.45689655172413796,0.6022727272727273,0.5196078431372549,88.0
D# major,0.37142857142857144,0.5416666666666666,0.4406779661016949,24.0
D# minor,0.25,0.26785714285714285,0.25862068965517243,56.0
E major,0.10909090909090909,0.1875,0.13793103448275862,32.0
E minor,0.5882352941176471,0.4166666666666667,0.4878048780487805,96.0
F major,0.17307692307692307,0.375,0.23684210526315788,24.0
F minor,0.6060606060606061,0.5,0.547945205479452,120.0
F# major,0.38095238095238093,0.2,0.26229508196721313,40.0
F# minor,0.34285714285714286,0.42857142857142855,0.38095238095238093,56.0
G major,0.28846153846153844,0.375,0.32608695652173914,40.0
G minor,0.43103448275862066,0.3333333333333333,0.37593984962406013,75.0
G# major,0.34146341463414637,0.35,0.345679012345679,40.0
G# minor,0.32558139534883723,0.2916666666666667,0.3076923076923077,48.0
accuracy,0.36656671664167917,0.36656671664167917,0.36656671664167917,0.36656671664167917
macro avg,0.3359006044206736,0.354142400346838,0.3292556087744869,1334.0
weighted avg,0.3977795792306125,0.36656671664167917,0.36855847798231706,1334.0
