split,key_24,count,split_total,percent_of_split
test,A major,24,1352,1.7751479289940828
test,A minor,72,1352,5.325443786982249
test,A# major,32,1352,2.366863905325444
test,A# minor,56,1352,4.142011834319527
test,B major,24,1352,1.7751479289940828
test,B minor,72,1352,5.325443786982249
test,C major,24,1352,1.7751479289940828
test,C minor,136,1352,10.059171597633137
test,C# major,48,1352,3.5502958579881656
test,C# minor,80,1352,5.9171597633136095
test,D major,56,1352,4.142011834319527
test,D minor,88,1352,6.508875739644971
test,D# major,24,1352,1.7751479289940828
test,D# minor,56,1352,4.142011834319527
test,E major,32,1352,2.366863905325444
test,E minor,96,1352,7.100591715976331
test,F major,24,1352,1.7751479289940828
test,F minor,120,1352,8.875739644970414
test,F# major,40,1352,2.9585798816568047
test,F# minor,48,1352,3.5502958579881656
test,G major,40,1352,2.9585798816568047
test,G minor,80,1352,5.9171597633136095
test,G# major,40,1352,2.9585798816568047
test,G# minor,40,1352,2.9585798816568047
train,A major,120,6280,1.910828025477707
train,A minor,320,6280,5.095541401273886
train,A# major,168,6280,2.67515923566879
train,A# minor,240,6280,3.821656050955414
train,B major,120,6280,1.910828025477707
train,B minor,328,6280,5.222929936305733
train,C major,112,6280,1.78343949044586
train,C minor,624,6280,9.936305732484078
train,C# major,232,6280,3.694267515923567
train,C# minor,376,6280,5.987261146496816
train,D major,232,6280,3.694267515923567
train,D minor,392,6280,6.24203821656051
train,D# major,136,6280,2.1656050955414012
train,D# minor,240,6280,3.821656050955414
train,E major,152,6280,2.420382165605096
train,E minor,440,6280,7.006369426751593
train,F major,136,6280,2.1656050955414012
train,F minor,544,6280,8.662420382165605
train,F# major,184,6280,2.9299363057324843
train,F# minor,248,6280,3.949044585987261
train,G major,176,6280,2.802547770700637
train,G minor,368,6280,5.859872611464969
train,G# major,200,6280,3.1847133757961785
train,G# minor,192,6280,3.0573248407643314
val,A major,32,1344,2.380952380952381
val,A minor,64,1344,4.761904761904762
val,A# major,40,1344,2.976190476190476
val,A# minor,48,1344,3.571428571428571
val,B major,24,1344,1.7857142857142856
val,B minor,64,1344,4.761904761904762
val,C major,24,1344,1.7857142857142856
val,C minor,128,1344,9.523809523809524
val,C# major,48,1344,3.571428571428571
val,C# minor,80,1344,5.952380952380952
val,D major,48,1344,3.571428571428571
val,D minor,80,1344,5.952380952380952
val,D# major,32,1344,2.380952380952381
val,D# minor,48,1344,3.571428571428571
val,E major,32,1344,2.380952380952381
val,E minor,88,1344,6.547619047619048
val,F major,32,1344,2.380952380952381
val,F minor,120,1344,8.928571428571429
val,F# major,40,1344,2.976190476190476
val,F# minor,56,1344,4.166666666666666
val,G major,40,1344,2.976190476190476
val,G minor,80,1344,5.952380952380952
val,G# major,48,1344,3.571428571428571
val,G# minor,48,1344,3.571428571428571
