key_24,train,val,test
C minor,9.92,9.47,10.19
F minor,8.75,8.58,8.99
E minor,6.93,7.1,7.19
D minor,6.23,5.92,6.59
C# minor,6.11,5.92,5.77
G minor,5.92,5.92,5.62
B minor,5.15,4.73,5.39
A minor,5.04,5.33,4.42
F# minor,3.77,4.14,4.19
D# minor,3.82,3.55,4.19
D major,3.8,3.25,4.19
A# minor,3.82,3.55,3.3
C# major,3.64,3.55,3.6
G# major,3.28,3.55,3.0
G# minor,3.15,2.59,3.6
F# major,2.88,2.96,3.0
G major,2.8,2.96,3.0
A# major,2.77,2.96,2.4
E major,2.42,2.37,2.4
D# major,2.16,2.37,1.8
F major,2.16,2.37,1.8
A major,1.91,2.37,1.8
B major,1.84,2.14,1.8
C major,1.75,2.37,1.8
